year,id_,educ,satjob,satfin,satsoc,satlife
2018,1,14,Very satisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,2,10,.i:  Inapplicable,More or less satisfied,Very good,Completely satisfied
2018,3,16,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,4,16,Very satisfied,Pretty well satisfied,Good,Mostly satisfied
2018,5,18,.i:  Inapplicable,Pretty well satisfied,Excellent,Mostly satisfied
2018,6,16,.i:  Inapplicable,More or less satisfied,Fair,.i:  Inapplicable
2018,7,13,Very satisfied,More or less satisfied,Good,Somewhat satisfied
2018,8,12,Very satisfied,More or less satisfied,Fair,Mostly satisfied
2018,9,8,Moderately satisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,10,12,Moderately satisfied,Pretty well satisfied,Good,Somewhat satisfied
2018,11,19,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,12,14,Moderately satisfied,Not satisfied at all,Fair,Neither satisfied nor dissatisfied
2018,13,13,.i:  Inapplicable,Not satisfied at all,Good,.i:  Inapplicable
2018,14,16,Moderately satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,15,12,A little dissatisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,16,12,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,17,16,Very dissatisfied,Not satisfied at all,Good,Somewhat dissatisfied
2018,18,16,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,19,20,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,20,18,A little dissatisfied,More or less satisfied,Good,Somewhat satisfied
2018,21,15,Very satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,22,14,.i:  Inapplicable,More or less satisfied,Good,Somewhat satisfied
2018,23,14,Very satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,24,12,Very satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,25,16,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,26,8,.i:  Inapplicable,Pretty well satisfied,Very good,Mostly satisfied
2018,27,12,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,28,9,Very satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,29,12,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,30,14,Very satisfied,Pretty well satisfied,Very good,Completely satisfied
2018,31,12,.i:  Inapplicable,Not satisfied at all,Very good,Mostly satisfied
2018,32,8,.i:  Inapplicable,Not satisfied at all,Good,Mostly satisfied
2018,33,16,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,34,16,Very dissatisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,35,10,Very satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,36,18,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,37,20,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,38,20,Very dissatisfied,Not satisfied at all,Very good,Mostly satisfied
2018,39,19,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,40,12,.n:  No answer,.n:  No answer,Good,.i:  Inapplicable
2018,41,12,Very satisfied,Not satisfied at all,Fair,Somewhat satisfied
2018,42,12,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,43,12,.i:  Inapplicable,Not satisfied at all,Good,Somewhat satisfied
2018,44,18,.n:  No answer,Pretty well satisfied,Very good,Mostly satisfied
2018,45,16,Very satisfied,Not satisfied at all,Very good,Somewhat satisfied
2018,46,12,Moderately satisfied,More or less satisfied,Fair,Neither satisfied nor dissatisfied
2018,47,18,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,48,18,A little dissatisfied,Pretty well satisfied,Good,Mostly satisfied
2018,49,17,.i:  Inapplicable,Pretty well satisfied,Good,.i:  Inapplicable
2018,50,16,.i:  Inapplicable,Pretty well satisfied,Very good,.i:  Inapplicable
2018,51,14,Very satisfied,More or less satisfied,Fair,Somewhat satisfied
2018,52,12,Moderately satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,53,18,Moderately satisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,54,18,.i:  Inapplicable,More or less satisfied,Very good,Somewhat satisfied
2018,55,16,Very satisfied,Pretty well satisfied,Good,Mostly satisfied
2018,56,14,Moderately satisfied,Pretty well satisfied,Excellent,Mostly satisfied
2018,57,16,Very satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,58,14,A little dissatisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,59,11,A little dissatisfied,More or less satisfied,Good,Neither satisfied nor dissatisfied
2018,60,9,Moderately satisfied,Not satisfied at all,Poor,Mostly dissatisfied
2018,61,13,Very satisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,62,10,A little dissatisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,63,16,Moderately satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,64,13,.i:  Inapplicable,Not satisfied at all,Very good,.i:  Inapplicable
2018,65,12,.i:  Inapplicable,More or less satisfied,Very good,Completely satisfied
2018,66,20,.i:  Inapplicable,More or less satisfied,Poor,.i:  Inapplicable
2018,67,14,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,68,14,.i:  Inapplicable,Not satisfied at all,Excellent,Completely satisfied
2018,69,19,Moderately satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,70,16,Very dissatisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,71,15,.n:  No answer,Pretty well satisfied,Fair,Completely satisfied
2018,72,16,Moderately satisfied,More or less satisfied,Fair,Somewhat satisfied
2018,73,16,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,74,20,Moderately satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,75,14,Moderately satisfied,Not satisfied at all,Excellent,Mostly satisfied
2018,76,14,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,77,16,Very satisfied,Pretty well satisfied,Good,Mostly satisfied
2018,78,8,Moderately satisfied,More or less satisfied,Very good,Mostly satisfied
2018,79,14,Very satisfied,More or less satisfied,Good,Mostly satisfied
2018,80,.n:  No answer,.n:  No answer,More or less satisfied,Very good,Mostly satisfied
2018,81,16,.i:  Inapplicable,More or less satisfied,Very good,.i:  Inapplicable
2018,82,12,Very satisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,83,12,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,84,13,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,85,12,Very satisfied,More or less satisfied,Very good,Completely satisfied
2018,86,17,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,87,13,Moderately satisfied,Not satisfied at all,Very good,Somewhat satisfied
2018,88,16,Very satisfied,More or less satisfied,Fair,Somewhat satisfied
2018,89,18,Very satisfied,Pretty well satisfied,Good,Mostly satisfied
2018,90,18,Very satisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,91,16,A little dissatisfied,More or less satisfied,Fair,Neither satisfied nor dissatisfied
2018,92,19,Very satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,93,16,Very satisfied,Pretty well satisfied,Excellent,Completely satisfied
2018,94,12,Very satisfied,.d:  Do not Know/Cannot Choose,.n:  No answer,.i:  Inapplicable
2018,95,16,Moderately satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,96,14,A little dissatisfied,Pretty well satisfied,Good,Somewhat satisfied
2018,97,13,.i:  Inapplicable,Pretty well satisfied,Fair,Somewhat satisfied
2018,98,16,Very satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,99,12,Very satisfied,More or less satisfied,Good,Completely satisfied
2018,100,4,Very satisfied,More or less satisfied,Good,Completely satisfied
2018,101,12,Very satisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,102,12,.i:  Inapplicable,Not satisfied at all,Very good,.i:  Inapplicable
2018,103,18,A little dissatisfied,Pretty well satisfied,Very good,Somewhat satisfied
2018,104,14,.i:  Inapplicable,Pretty well satisfied,Good,Mostly satisfied
2018,105,18,A little dissatisfied,Pretty well satisfied,Fair,Somewhat dissatisfied
